Nivå	Typeinndeling	HTG	HT	GT_nr	Basic type	S_kode	Name	Name_EN	Kortnavn	Beskrivelse	KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap	rekkefølge_kjeding_klg					
LA	TI	I	I-A	6	I-A-6	LA-TI-I-A-6	Grunne daler i ås- og fjellandskap under skoggrensen med tett bebyggelse  og jordbruksdominans	Concave-shaped hills with village and agriculture	Dalformet åslandskap med tett bebyggelse  og jordbruksdominans		KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	6	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	7	I-A-7	LA-TI-I-A-7	Grunne daler i ås- og fjellandskap under skoggrensen med by	Concave-shaped hills with city	Dalformet åslandskap med by		KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-4		KLG_JP-1	7	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	8	I-A-8	LA-TI-I-A-8	Grunne daler i ås- og fjellandskap med hei under skoggrensen	Concave-shaped low mountains	Dalformet åslandskap med hei		KLG_RE-IA-1						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	8	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	9	I-A-9	LA-TI-I-A-9	Grunne daler i ås- og fjellandskap med hei under skoggrensen med jordbruksdominans	Concave-shaped low mountains with agriculture	Dalformet åslandskap med hei og jordbruksdominans		KLG_RE-IA-1						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-2	9	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	10	I-A-10	LA-TI-I-A-10	Grunne daler i ås- og fjellandskap med hei under skoggrensen med bebygde områder	Concave-shaped low mountains with settlements	Dalformet åslandskap med hei og bebyggelse		KLG_RE-IA-1						KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	10	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	11	I-A-11	LA-TI-I-A-11	Grunne daler i ås- og fjellandskap med hei over skoggrensen	Concave-shaped mountains	Dalformet fjellandskap med hei		KLG_RE-IA-1						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	11	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	12	I-A-12	LA-TI-I-A-12	Grunne daler i ås- og fjellandskap med bart fjell over skoggrensen	Concave-shaped barren mountains	Dalformet bart fjellandskap		KLG_RE-IA-1						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	12	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	13	I-A-13	LA-TI-I-A-13	Grunne daler i ås- og fjellandskap dominert av isbre med bart fjell over skoggrensen	Concave-shaped barren mountains with glacier	Dalformet bart fjellandskap dominert av isbre		KLG_RE-IA-1						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	13	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	14	I-A-14	LA-TI-I-A-14	Slakt til småkupert ås- og fjellandskap under skoggrensen	Undulating hills	Slakt til småkupert åslandskap		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	14	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	15	I-A-15	LA-TI-I-A-15	Slakt til småkupert ås- og fjellandskap under skoggrensen med jordbruksdominans	Undulating hills with agriculture	Slakt til småkupert åslandskap med jordbruksdominans		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	15	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	16	I-A-16	LA-TI-I-A-16	Slakt til småkupert ås- og fjellandskap under skoggrensen med bebygde områder	Undulating hills with settlements	Slakt til småkupert åslandskap med bebyggelse		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	16	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	17	I-A-17	LA-TI-I-A-17	Slakt til småkupert ås- og fjellandskap under skoggrensen med bebygde områder og jordbruksdominans	Undulating hills with settlements and agriculture	Slakt til småkupert åslandskap med bebyggelse og jordbruksdominans		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	17	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
